FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
-2.521538,26.870539,0.310781,31.792599,0.663427,797.006775
-2.428438,27.181147,0.29901,31.824482,0.596699,797.176025
-2.331941,27.492741,0.28685,31.85527,0.533163,797.333191
-2.231897,27.805265,0.274313,31.884945,0.47323,797.477783
-2.128155,28.118673,0.261408,31.913507,0.417307,797.609802
-2.020587,28.432947,0.248138,31.940962,0.365799,797.729004
-1.909109,28.748112,0.234507,31.967321,0.319132,797.835205
-1.793671,29.064203,0.220525,31.992611,0.277758,797.928406
-1.674232,29.381256,0.206213,32.01685,0.242161,798.008301
-1.550734,29.699278,0.191601,32.040066,0.212847,798.074829
-1.423076,30.018223,0.176726,32.06226,0.19033,798.127747
-1.291113,30.338018,0.161628,32.083443,0.17512,798.167114
-1.15466,30.658562,0.146347,32.103626,0.167719,798.192566
-1.013528,30.979774,0.130924,32.122826,0.168629,798.204041
-0.867551,31.301607,0.115395,32.141048,0.178368,798.201538
-0.716604,31.624044,0.099788,32.158302,0.197486,798.184814
-0.56061,31.947107,0.084125,32.174606,0.226562,798.153809
-0.399512,32.270821,0.068422,32.189991,0.266195,798.108643
-0.23325,32.595181,0.052701,32.204475,0.316999,798.048889
-0.061729,32.920147,0.036994,32.218082,0.379591,797.974792
0.115193,33.245644,0.021338,32.230808,0.45459,797.886169
0.297691,33.571568,0.005776,32.242653,0.542612,797.782837
0.485944,33.897816,-0.009644,32.253643,0.644279,797.664795
0.680102,34.224335,-0.024862,32.26379,0.760226,797.532043
0.880259,34.551094,-0.039817,32.273098,0.891112,797.384338
1.086455,34.878105,-0.054441,32.28159,1.037622,797.221802
1.298691,35.205387,-0.068675,32.289249,1.200457,797.044312
1.516964,35.532959,-0.082462,32.296093,1.380329,796.851868
1.741296,35.860794,-0.095754,32.302113,1.577946,796.644409
1.97175,36.18882,-0.108499,32.307297,1.794013,796.421875
2.208427,36.516937,-0.120633,32.311638,2.029227,796.184143
2.451427,36.845055,-0.13208,32.31514,2.284292,795.931396
2.700819,37.17308,-0.142746,32.317799,2.55993,795.66333
2.9566,37.500999,-0.152522,32.319637,2.856883,795.380005
3.218692,37.828812,-0.161293,32.320663,3.175908,795.081543
3.486957,38.156544,-0.168946,32.3209,3.517768,794.767761
3.761236,38.484203,-0.175368,32.320351,3.883217,794.43866
4.04139,38.81179,-0.180454,32.319031,4.272995,794.094421
4.327312,39.139236,-0.184106,32.316936,4.687824,793.734863
4.618924,39.466434,-0.186232,32.314041,5.128417,793.359985
4.916143,39.793293,-0.186741,32.310341,5.595479,792.969788
5.21884,40.119743,-0.185534,32.305809,6.089721,792.56427
5.526803,40.44574,-0.182493,32.300442,6.611864,792.143311
5.839737,40.771309,-0.177483,32.294228,7.162626,791.70697
6.157268,41.096485,-0.170362,32.287174,7.74272,791.25531
6.478991,41.421288,-0.160984,32.279274,8.35283,790.788208
6.8045,41.745724,-0.149205,32.270542,8.993602,790.305786
7.13341,42.069744,-0.134891,32.260971,9.665639,789.808105
7.465352,42.393257,-0.117912,32.250561,10.369514,789.294983
7.799942,42.716175,-0.098154,32.239273,11.105777,788.766479
8.136741,43.038422,-0.075505,32.227081,11.874967,788.222534
8.47522,43.359959,-0.049848,32.213943,12.677603,787.663147
8.81475,43.680794,-0.021058,32.199818,13.514174,787.088379
9.154618,44.000946,0.011004,32.184658,14.385115,786.49823
